Brand,Metric,Region,Year,Value
McD,Revenue (Company Operated),US,2023,3221.0
McD,Revenue (Company Operated),US,2022,2836.0
McD,Revenue (Company Operated),US,2021,2617.0
McD,Revenue (Company Operated),International Operated Markets,2023,5702.0
McD,Revenue (Company Operated),International Operated Markets,2022,5179.0
McD,Revenue (Company Operated),International Operated Markets,2021,6456.0
McD,Revenue (Company Operated),International Developmental Licensed,2023,819.0
McD,Revenue (Company Operated),International Developmental Licensed,2022,733.0
McD,Revenue (Company Operated),International Developmental Licensed,2021,715.0
McD,Revenue (Franchised),US,2023,7163.0
McD,Revenue (Franchised),US,2022,6585.0
McD,Revenue (Franchised),US,2021,6094.0
McD,Revenue (Franchised),International Operated Markets,2023,6549.0
McD,Revenue (Franchised),International Operated Markets,2022,5985.0
McD,Revenue (Franchised),International Operated Markets,2021,5638.0
McD,Revenue (Franchised),International Developmental Licensed,2023,1724.0
McD,Revenue (Franchised),International Developmental Licensed,2022,1536.0
McD,Revenue (Franchised),International Developmental Licensed,2021,1353.0
McD,Revenue (Other),Global,2023,316.0
McD,Revenue (Other),Global,2022,329.0
McD,Revenue (Other),Global,2021,351.0
McD,Revenue (Total),Global,2023,25494.0
McD,Revenue (Total),Global,2022,23183.0
McD,Revenue (Total),Global,2021,23224.0
McD,Operating Revenue (Company Operated Sales),Global,2023,9742.0
McD,Operating Revenue (Company Operated Sales),Global,2022,8748.0
McD,Operating Revenue (Company Operated Sales),Global,2021,9787.0
McD,Operating Revenue (Franchised),Global,2023,15436.0
McD,Operating Revenue (Franchised),Global,2022,14106.0
McD,Operating Revenue (Franchised),Global,2021,13085.0
McD,Operating/Non-Operating Results,Global,2023,316.0
McD,Operating/Non-Operating Results,Global,2022,329.0
McD,Operating/Non-Operating Results,Global,2021,351.0
McD,Operating/Non-Operating Results,Global,2023,8224.0
McD,Operating/Non-Operating Results,Global,2022,7381.0
McD,Operating/Non-Operating Results,Global,2021,8047.0
McD,Operating/Non-Operating Results,Global,2023,2475.0
McD,Operating/Non-Operating Results,Global,2022,2350.0
McD,Operating/Non-Operating Results,Global,2021,2335.0
McD,Operating/Non-Operating Results,Global,2023,232.0
McD,Operating/Non-Operating Results,Global,2022,245.0
McD,Operating/Non-Operating Results,Global,2021,260.0
McD,Operating/Non-Operating Results,Global,2023,382.0
McD,Operating/Non-Operating Results,Global,2022,312.0
McD,Operating/Non-Operating Results,Global,2021,312.0
McD,Operating/Non-Operating Results,Global,2023,2435.0
McD,Operating/Non-Operating Results,Global,2022,2492.0
McD,Operating/Non-Operating Results,Global,2021,2378.0
McD,Operating/Non-Operating Results,Global,2023,99.0
McD,Operating/Non-Operating Results,Global,2022,-483.0
McD,Operating/Non-Operating Results,Global,2021,42.0
McD,Operating/Non-Operating Results,Global,2023,11647.0
McD,Operating/Non-Operating Results,Global,2022,9371.0
McD,Operating/Non-Operating Results,Global,2021,10356.0
McD,Operating/Non-Operating Results,Global,2023,1361.0
McD,Operating/Non-Operating Results,Global,2022,1207.0
McD,Operating/Non-Operating Results,Global,2021,1186.0
McD,Operating/Non-Operating Results,Global,2023,236.0
McD,Operating/Non-Operating Results,Global,2022,339.0
McD,Operating/Non-Operating Results,Global,2021,42.0
McD,Operating/Non-Operating Results,Global,2023,2053.0
McD,Operating/Non-Operating Results,Global,2022,1648.0
McD,Operating/Non-Operating Results,Global,2021,1583.0
McD,Operating/Non-Operating Results,Global,2023,8469.0
McD,Operating/Non-Operating Results,Global,2022,8370.0
McD,Operating/Non-Operating Results,Global,2021,7122.0
McD,Operating/Non-Operating Results,Global,2023,11.56
McD,Operating/Non-Operating Results,Global,2022,8.36
McD,Operating/Non-Operating Results,Global,2021,10.04
McD,Operating/Non-Operating Results,Global,2023,732.3
McD,Operating/Non-Operating Results,Global,2022,741.3
McD,Operating/Non-Operating Results,Global,2021,751.8
McD,Income,Global,2023,9741.6
McD,Income,Global,2022,8748.4
McD,Income,Global,2021,9787.4
McD,Income,Global,2023,15436.5
McD,Income,Global,2022,14105.8
McD,Income,Global,2021,13085.4
McD,Income,Global,2023,315.6
McD,Income,Global,2022,328.4
McD,Income,Global,2021,350.1
McD,Company_Operated_Restaurant_Expenses,Global,2023,3039.0
McD,Company_Operated_Restaurant_Expenses,Global,2022,2737.3
McD,Company_Operated_Restaurant_Expenses,Global,2021,3096.8
McD,Company_Operated_Restaurant_Expenses,Global,2023,2885.8
McD,Company_Operated_Restaurant_Expenses,Global,2022,2617.4
McD,Company_Operated_Restaurant_Expenses,Global,2021,2677.2
McD,Company_Operated_Restaurant_Expenses,Global,2023,2299.3
McD,Company_Operated_Restaurant_Expenses,Global,2022,2026.2
McD,Company_Operated_Restaurant_Expenses,Global,2021,2273.8
McD,Franchise_Expenses,Global,2023,2474.6
McD,Franchise_Expenses,Global,2022,2349.7
McD,Franchise_Expenses,Global,2021,2335.0
McD,Expenses,Global,2023,232.5
McD,Expenses,Global,2022,244.8
McD,Expenses,Global,2021,260.4
McD,Expenses,Global,2023,381.7
McD,Expenses,Global,2022,370.4
McD,Expenses,Global,2021,329.7
McD,Expenses,Global,2023,2435.2
McD,Expenses,Global,2022,2492.2
McD,Expenses,Global,2021,2377.8
McD,Expenses,Global,2023,98.9
McD,Expenses,Global,2022,973.6
McD,Expenses,Global,2021,-483.3
McD,Total,Global,2023,11646.7
McD,Total,Global,2022,9371.0
McD,Total,Global,2021,10356.0
McD,Expenses,Global,2023,1360.8
McD,Expenses,Global,2022,1207.0
McD,Expenses,Global,2021,1185.8
McD,Income,Global,2023,236.3
McD,Income,Global,2022,-338.6
McD,Income,Global,2021,-42.3
McD,Expenses,Global,2023,2053.4
McD,Expenses,Global,2022,1648.0
McD,Expenses,Global,2021,1582.7
McD,Total,Global,2023,8468.8
McD,Total,Global,2022,6177.4
McD,Total,Global,2021,7544.7
McD,Per_Share_Data,Global,2023,11.63
McD,Per_Share_Data,Global,2022,8.39
McD,Per_Share_Data,Global,2021,10.11
McD,Per_Share_Data,Global,2023,11.56
McD,Per_Share_Data,Global,2022,8.33
